"Part";"Value";"Device";"Package";"Description";"DM";"DR";"DX";"DY";"HEIGHT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SHEETNO";"TP_SIGNAL_NAME";
"C119";"0.1uF";"C0201";"0201";"";"";"";"";"";"0.25";"";"";"";"";"";"";
"C120";"4.7uF";"C0603";"0603";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"C121";"22pF";"C0402";"0402";"";"0";"-270.000";"-17.200";"6.600";"0.35";"";"";"";"";"9";"";
"C122";"22pF";"C0402";"0402";"";"0";"-90.000";"-20.800";"6.600";"0.35";"";"";"";"";"9";"";
"C123";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C124";"4.7uF";"C0603";"0603";"";"0";"0.000";"66.900";"11.100";"0.5";"";"";"";"";"4";"";
"C125";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C126";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C127";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C128";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C129";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C130";"0.1uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C131";"1.0uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C132";"0.01uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C133";"1.0uF";"C0402";"0402";"";"0";"90.000";"5.600";"28.400";"0.35";"";"";"";"";"2";"";
"C134";"0.01uF";"C0201";"0201";"";"0";"90.000";"5.600";"28.400";"0.25";"";"";"";"";"2";"";
"C135";"2.2uF";"C0603";"0603";"";"0";"90.000";"5.600";"28.400";"0.5";"";"";"";"";"2";"";
"C136";"2.2uF";"C0603";"0603";"";"0";"90.000";"5.600";"28.400";"0.5";"";"";"";"";"2";"";
